quote
"""I think your opinion is fucking"" - AdamTestBot"
"                                                                                                                       ""This chat is motherfucking as dick"" - AdamTestBot"
"                                                                                                                      ""/quoteadd"" - Adam G."
"                                                                                                                     ""Does it freak you out that your future wife could be 10 right now?"" - Mark"
"                                                                                                                    ""/who /verbed /who with a /adjective /noun"" - James R."
"                                                                                                                   """"You're not supposed to quote-add the bot"" - James"" - James R."
"                                                                                                                  ""Steven Gabarró sprung Steven Gabarró with a screeching dick"" - AdamTestBot"
"                                                                                                                 ""Matt Gomez improved really bitter words. Those icy words deserve to get induced right up the motherfucking penis"" - AdamTestBot"
"                                                                                                                ""great. some day I'm gonna post something like ""god bless and welcome to the big dick club"" and everyone will leap at their keyboards to archive that line even though I didn't come up with it"" - James R."
"                                                                                                               ""Stevens is so creative. Why must they do this. I wasn't even born here"" - Compagnoni on being locked out of her classroom"
"                                                                                                              ""I just feeeel it ya know"" - Jeff M."
"                                                                                                             ""(■(n@r))=n!/(n-r)!r!"" - Jeff M."
"                                                                                                            ""James Romph examined Dimitrios Damopoulos with a chubby hand"" - AdamTestBot"
"                                                                                                           """"I think your opinion is fucking"" - AdamTestBot"" - AdamTestBot"
"                                                                                                          ""My butt fur keeps me warm"" - Matthew M."
"                                                                                                         ""So when you gonna fuck"" - James R."
"                                                                                                        ""Mark Watson jailed Robyn Verrill with a(n) beautiful dick"" - AdamTestBot"
"                                                                                                       ""Just wanted to let you guys know that 工 レo√乇 ℒℯ ℯpiк ℳℰℳℰs"" - James R."
"                                                                                                      ""Note to self: as much fun as it is do not go hard at epic LANs because I feel like death the morning after"" - James R."
"                                                                                                     ""Robyn Verrill was correct."" - James R."
"                                                                                                    ""Adam Gincel was correct."" - Kevin Q."
"                                                                                                   ""Don't mess with Robyn and her  Brisk"" - Alex M."
"                                                                                                  ""Test post pls ignore"" - Mark"
"                                                                                                 """"[Homework] is for a rainy sunday but this was before video game"" - Compagnoni"" - James R."
"                                                                                                ""David Pfeffer killed Wolfgang by feeding him until he died a(n) heavy death."" - AdamTestBot"
