messageID,liked
45947,t
45932,f
56180,t
59160,t
59241,t
59256,t
59887,t
71390,t
80323,f
81174,f
81342,t
81385,t
81408,t
81649,t
88173,t
93334,t
93346,t
97102,t
97750,t
97827,t
98609,t
98627,t
100100,t
100391,t
101328,t
101373,t
103884,t
106486,t
106511,t
117347,t
190740,t
190762,t
219422,t
224697,t
232115,t
235640,t
252309,t
305879,t
369096,t
373047,t
373057,f
377632,t
387176,t
387205,t
387215,t
394240,t
480159,t
483707,t
497235,t
540275,t
547893,t
548144,t
550387,t
575687,t
576695,t
578480,t
599421,t
601791,t
