userID,likes,dislikes
117924410,130,16
44961843,243,17
52737434,235,67
35829872,33,43
40280981,156,30
68536910,151,9
40583561,219,38
38615151,89,10
51561968,96,8
77691504,8,1
65924676,3,2
75419550,5,0
129460314,5,0
107284710,1,0
75396487,39,10
122526873,60,2
70302341,45,9
137189045,15,0
164584292,140,5
1888782,21,0
158295443,10,1
163631160,14,0
169883788,35,6
25943642,116,28
22889912,108,24
165999409,21,1
146189964,13,1
154232992,34,2
66697050,9,3
120828468,6,1
158561669,1,0
163688528,5,0
78944939,14,0
130042406,0,1
77980097,31,4
54493962,152,41
50283098,79,28
35072296,37,10
135141137,50,9
89720656,5,8
56387349,14,15
160084761,4,0
167470868,2,0
84850662,20,6
75870534,38,3
40011716,1,0
94164670,0,2
74952876,5,1
50816905,1,0
51807639,1,1
173749832,1,0
45302484,0,1
